"Název suroviny;Pùvodní množství;Nové množství;Prodáno (dle váhy);Prodáno (dle pokladny);Rozdíl;Platná;"
"Fernet Citrus;417.0;417.0;0.0;0.0;0.0;ano;"
"Absente Franc.;0.0;243.0;-243.0;0.0;-243.0;ano;"
"Absinth hills;0.0;10663.0;-10663.0;0.0;-10663.0;ano;"
"Jagermeister;0.0;285.0;-285.0;0.0;-285.0;ano;"
"Becherovka;235.0;235.0;0.0;0.0;0.0;ano;"
"Fernet;437.0;437.0;0.0;0.0;0.0;ano;"
"Amaretto;0.0;485.0;-485.0;0.0;-485.0;ano;"
"Becherovka Lime;252.0;252.0;0.0;0.0;0.0;ano;"
"Cointreau;0.0;330.0;-330.0;0.0;-330.0;ano;"
"Berentzen jablko;0.0;420.0;-420.0;0.0;-420.0;ano;"
"Peprmint;0.0;421.0;-421.0;0.0;-421.0;ano;"
"Silver TOp;0.0;415.0;-415.0;0.0;-415.0;ano;"
